,空實櫃別,總計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,實櫃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,空櫃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,港口別,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,,港口別總計,,,,,基隆港,,,,,高雄港,,,,,臺中港,,,,,臺北港,,,,,安平港,,,,
,貨櫃類型別,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎,貨櫃類型別總計,10呎,20呎,40呎,45呎
日期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112年03月,,765652,2,330601,433830,1219,85050,-,34284,50694,72,494560,2,217726,275958,874,92138,-,43929,48089,120,93674,-,34522,58999,153,230,-,140,90,-,649875,2,277064,372090,719,65468,-,27452,37994,22,427679,2,182717,244406,554,77487,-,36708,40711,68,79119,-,30114,48930,75,122,-,73,49,-,115777,-,53537,61740,500,19582,-,6832,12700,50,66881,-,35009,31552,320,14651,-,7221,7378,52,14555,-,4408,10069,78,108,-,67,41,-
112年04月,,718966,4,310475,407338,1149,82677,-,34398,48261,18,458963,4,202348,255845,766,85019,-,39587,45360,72,92053,-,33926,57834,293,254,-,216,38,-,612417,4,260644,351188,581,64616,-,27611,36994,11,397406,4,170419,226535,448,72728,-,34379,38307,42,77551,-,28127,49344,80,116,-,108,8,-,106549,-,49831,56150,568,18061,-,6787,11267,7,61557,-,31929,29310,318,12291,-,5208,7053,30,14502,-,5799,8490,213,138,-,108,30,-
112年05月,,763259,2,316461,445414,1382,83358,-,32583,50716,59,499799,2,211603,287263,931,87113,-,40085,46939,89,92864,-,32118,60443,303,125,-,72,53,-,650720,-,266333,383582,805,64777,-,25942,38780,55,434367,-,178814,254931,622,72976,-,33825,39095,56,78549,-,27716,50761,72,51,-,36,15,-,112539,2,50128,61832,577,18581,-,6641,11936,4,65432,2,32789,32332,309,14137,-,6260,7844,33,14315,-,4402,9682,231,74,-,36,38,-
112年06月,,703496,3,295025,407352,1116,78364,-,32274,46024,66,460071,3,196394,262873,801,83462,-,36223,47140,99,81420,-,29955,51315,150,179,-,179,-,-,605949,2,256077,349086,784,60797,-,26255,34502,40,403544,2,170557,232389,596,72116,-,32412,39645,59,69385,-,26746,42550,89,107,-,107,-,-,97547,1,38948,58266,332,17567,-,6019,11522,26,56527,1,25837,30484,205,11346,-,3811,7495,40,12035,-,3209,8765,61,72,-,72,-,-
112年07月,,692730,4,294834,396744,1148,82736,-,33895,48781,60,439188,4,188578,249690,916,85977,-,38852,47061,64,84789,-,33509,51172,108,40,-,-,40,-,591440,2,254697,336073,668,62777,-,26601,36135,41,384965,2,165324,219112,527,72364,-,33282,39039,43,71294,-,29490,41747,57,40,-,-,40,-,101290,2,40137,60671,480,19959,-,7294,12646,19,54223,2,23254,30578,389,13613,-,5570,8022,21,13495,-,4019,9425,51,-,-,-,-,-
112年08月,,741029,3,313678,425937,1411,81584,-,32659,48797,128,486475,3,206079,279356,1037,92708,-,42566,50077,65,80097,-,32267,47649,181,165,-,107,58,-,632644,1,268633,363242,768,63248,-,26665,36516,67,420037,1,175965,243462,609,78289,-,36159,42097,33,71018,-,29808,41151,59,52,-,36,16,-,108385,2,45045,62695,643,18336,-,5994,12281,61,66438,2,30114,35894,428,14419,-,6407,7980,32,9079,-,2459,6498,122,113,-,71,42,-
112年09月,,739038,1,311769,426137,1131,79883,-,31572,48245,66,495525,1,206756,287835,933,88732,-,40081,48609,42,74828,-,33324,41414,90,70,-,36,34,-,632943,1,268072,364235,635,60518,-,25393,35090,35,429285,1,178096,250655,533,75689,-,34712,40946,31,67399,-,29835,37528,36,52,-,36,16,-,106095,-,43697,61902,496,19365,-,6179,13155,31,66240,-,28660,37180,400,13043,-,5369,7663,11,7429,-,3489,3886,54,18,-,-,18,-
112年10月,,712296,3,301339,409573,1381,79096,-,31611,47404,81,471109,3,199028,271009,1069,86380,-,38111,48184,85,75612,-,32553,42913,146,99,-,36,63,-,607468,1,257254,349620,593,59900,-,25357,34509,34,408034,1,169593,237968,472,73051,-,32758,40252,41,66444,-,29546,36852,46,39,-,-,39,-,104828,2,44085,59953,788,19196,-,6254,12895,47,63075,2,29435,33041,597,13329,-,5353,7932,44,9168,-,3007,6061,100,60,-,36,24,-
112年11月,,722601,1,306272,414972,1356,83352,-,33457,49754,141,471115,1,200036,270000,1078,90393,-,40371,49949,73,77688,-,32408,45216,64,53,-,-,53,-,613007,1,261955,350373,678,63110,-,26805,36231,74,407405,1,171462,235412,530,74385,-,33794,40542,49,68062,-,29894,38143,25,45,-,-,45,-,109594,-,44317,64599,678,20242,-,6652,13523,67,63710,-,28574,34588,548,16008,-,6577,9407,24,9626,-,2514,7073,39,8,-,-,8,-
112年12月,,743496,-,313285,428758,1453,87598,-,34521,52855,222,484340,-,202433,280862,1045,93187,-,42983,50146,58,78310,-,33312,44870,128,61,-,36,25,-,633542,-,270187,362718,637,65571,-,27571,37929,71,419033,-,175203,243344,486,79086,-,36649,42392,45,69804,-,30728,39041,35,48,-,36,12,-,109954,-,43098,66040,816,22027,-,6950,14926,151,65307,-,27230,37518,559,14101,-,6334,7754,13,8506,-,2584,5829,93,13,-,-,13,-
113年,,8781179,24,3633130,5131776,16249,1028778,-,407936,619729,1113,5797422,24,2369773,3414078,13547,1043825,-,474375,568662,788,909962,-,380318,528843,801,1192,-,728,464,-,7420321,15,3119337,4293514,7455,766013,-,322464,442870,679,4970632,15,2035039,2929733,5845,882145,-,414110,467554,481,800920,-,347412,453058,450,611,-,312,299,-,1360858,9,513793,838262,8794,262765,-,85472,176859,434,826790,9,334734,484345,7702,161680,-,60265,101108,307,109042,-,32906,75785,351,581,-,416,165,-
113年01月,,734112,3,305381,427306,1422,89606,-,33787,55705,114,471095,3,195351,274688,1053,93004,-,41822,51063,119,80338,-,34385,45817,136,69,-,36,33,-,620883,2,263085,357173,623,67386,-,27845,39467,74,402363,2,166836,235074,451,80260,-,36722,43481,57,70859,-,31682,39136,41,15,-,-,15,-,113229,1,42296,70133,799,22220,-,5942,16238,40,68732,1,28515,39614,602,12744,-,5100,7582,62,9479,-,2703,6681,95,54,-,36,18,-
113年02月,,624017,1,260619,362426,971,59773,-,24357,35340,76,431898,1,176855,254254,788,71127,-,31960,39091,76,61057,-,27371,33655,31,162,-,76,86,-,530611,1,222928,307153,529,44253,-,18414,25781,58,373920,1,153392,220125,402,58812,-,26850,31924,38,53540,-,24232,29277,31,86,-,40,46,-,93406,-,37691,55273,442,15520,-,5943,9559,18,57978,-,23463,34129,386,12315,-,5110,7167,38,7517,-,3139,4378,-,76,-,36,40,-
113年03月,,777074,1,327367,447892,1814,84317,-,34302,49940,75,516702,1,215936,299197,1568,98351,-,44201,54063,87,77647,-,32888,44675,84,57,-,40,17,-,668531,1,288568,379154,808,65236,-,28661,36520,55,452429,1,190705,261087,636,83437,-,39516,43863,58,67420,-,29686,37675,59,9,-,-,9,-,108543,-,38799,68738,1006,19081,-,5641,13420,20,64273,-,25231,38110,932,14914,-,4685,10200,29,10227,-,3202,7000,25,48,-,40,8,-
113年04月,,723195,3,305019,417172,1001,87114,-,35135,51929,50,477780,3,199031,277912,834,87114,-,40663,46379,72,71162,-,30190,40927,45,25,-,-,25,-,618983,3,261452,356978,550,65710,-,27986,37679,45,417573,3,171236,245925,409,74589,-,35471,39065,53,61099,-,26759,34297,43,12,-,-,12,-,104212,-,43567,60194,451,21404,-,7149,14250,5,60207,-,27795,31987,425,12525,-,5192,7314,19,10063,-,3431,6630,2,13,-,-,13,-
