scenario,pressure_scenario,buffer_scenario,ym,port,history_n,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,empty_share,net_pressure_raw,export_pull,roll3_empty_net,cum_empty_net,roll3_pressure_raw,positive_net_streak,buffer_raw,pressure_pct,buffer_pct,pressure_z,buffer_z,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,buffer_space_raw,buffer_net_raw,buffer_export_raw,buffer_index,pressure_index,enough_history,high_pressure_cut,high_buffer_cut,low_pressure_cut,status
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202506,臺中港,6,11980,7530,81090,53586,139288.5,4450,19510,134676,0.14006899349192503,0.03194807898713821,0.384712305753885,5303,22490,0.038247964311489,6,0.859931006508075,0.3636363636363637,0.6363636363636364,-1.0773114034521802,-0.579422761206617,0.08600853623953161,0.03194807898713821,0.03807205907163908,0.9139914637604684,0,0.384712305753885,0.39,0.628,TRUE,0.132,0.51,0.08800000000000001,高壓力港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202507,臺中港,7,13488,6619,80136,48288,129173.25,6869,20107,128424,0.1556591631781348,0.0531766445452135,0.37382352770407185,5605,29359,0.04114808973994469,7,0.8443408368218652,1,0.3636363636363637,-1.0773114034521802,-0.579422761206617,0.10441790386167414,0.0531766445452135,0.043391336828639056,0.8955820961383258,0,0.37382352770407185,0.25,0.9266666666666665,TRUE,0.33999999999999997,0.625,0.07333333333333333,高壓力港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202508,臺中港,8,13444,7876,90881,51132,139444,5568,21320,142013,0.15289291758698834,0.0399300077450446,0.366684834055248,5629,34927,0.04168491042579877,8,0.8471070824130117,0.8181818181818182,0.4545454545454546,-1.0773114034521802,-0.579422761206617,0.09641146266601647,0.039930007745044606,0.04036745933851582,0.9035885373339836,0,0.366684834055248,0.2785714285714286,0.7085714285714285,TRUE,0.2114285714285714,0.3428571428571428,0.15714285714285714,高壓力港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202509,臺中港,9,11343,6864,84933,45220,126648.75,4479,18207,130153,0.14375980813075534,0.03536552867675362,0.3570505038541636,5638.666666666667,39406,0.04282406032233724,9,0.8562401918692447,0.4545454545454546,0.5454545454545454,-1.0773114034521802,-0.579422761206617,0.08956266840375447,0.03536552867675362,0.04452208700572779,0.9104373315962455,0,0.3570505038541636,0.25,0.59,TRUE,0.59,0.35625,0.1375,高壓力港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202510,臺中港,10,10016,5511,80123,45046,124361.5,4505,15527,125169,0.12485375297017164,0.03622503749150661,0.36221821061984616,4850.666666666667,43911,0.03717352463776827,10,0.8751462470298284,0.5454545454545454,0.7272727272727273,-1.0773114034521802,-0.579422761206617,0.08053939523083913,0.036225037491506615,0.03900456867010021,0.9194606047691609,0,0.36221821061984616,0.3944444444444445,0.5022222222222221,TRUE,0.5022222222222221,0.4833333333333333,0.1711111111111111,高壓力港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202511,臺中港,11,10475,5543,86134,43059,129488.5,4932,16018,129193,0.12370210482011916,0.03808832444580021,0.33253146032273134,4638.666666666667,48843,0.03655963020468681,11,0.8762978951798809,0.6363636363636364,0.8181818181818182,-1.0773114034521802,-0.579422761206617,0.08089521463295968,0.03808832444580021,0.03582300101295997,0.9191047853670403,0,0.33253146032273134,0.335,0.498,TRUE,0.498,0.485,0,高壓力港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202512,臺中港,12,12988,10055,96048,53118,147130.25,2933,23043,149166,0.1566163314478158,0.01993471770760941,0.3610270491622219,4123.333333333333,51776,0.03141602654830541,12,0.8433836685521842,0.18181818181818185,0.2727272727272727,-1.0773114034521802,-0.579422761206617,0.08827552457771261,0.019934717707609413,0.028025054897502948,0.9117244754222874,0,0.3610270491622219,0.2590909090909091,0.29454545454545455,TRUE,0.29454545454545455,0.42727272727272725,0.07454545454545454,高壓力港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202501,臺北港,1,2741,6723,65885,51689,117935,-3982,9464,117574,0.08024759401365159,-0.03376436172467885,0.4382838003985246,-3982,-3982,-0.03376436172467885,0,0.9197524059863484,0.09090909090909093,0.9090909090909092,-1.095100857618431,0.9586697318524964,0.02324161614448637,0,0,0.9767583838555136,0.03376436172467885,0.4382838003985246,0,0,FALSE,0,0,0,正常港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202502,臺北港,2,8091,3290,62585,45740,100157.25,4801,11381,108325,0.11363131475754376,0.04793462280563813,0.4566818677629428,409.5,819,0.00708513054047963,1,0.8863686852424563,1,0.2727272727272727,-1.095100857618431,0.9586697318524964,0.08078296878159094,0.047934622805638136,0.004088570722538808,0.919217031218409,0,0.4566818677629428,0.2,1,FALSE,1,0.2,0.22,正常港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202503,臺北港,3,3757,6981,76463,59820,131944.25,-3224,10738,136283,0.0813828567747363,-0.02443456232461816,0.45337329970802065,-801.6666666666666,-2405,-0.00342143374788629,0,0.9186171432252636,0.2727272727272727,0.8181818181818182,-1.095100857618431,0.9586697318524964,0.028474147225059067,0,0,0.971525852774941,0.006075798427492419,0.45337329970802065,0.5,0.11,TRUE,0.5,0.325,0.22,高緩衝港
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202504,臺北港,4,11784,7100,74748,54160,120731.25,4684,18884,128908,0.15641352176839057,0.03879691463477765,0.4485996790391883,2087,2279,0.02076565837193254,1,0.8435864782316095,0.9090909090909092,0,-1.095100857618431,0.9586697318524964,0.09760521820158409,0.038796914634777656,0.017286328104778176,0.9023947817984159,0,0.4485996790391883,0.06666666666666667,0.8,TRUE,0.8,0.36666666666666664,0.4533333333333333,高壓力港
