ym,port,history_n,scenario,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,empty_share,net_pressure_raw,export_pull,roll3_empty_net,cum_empty_net,roll3_pressure_raw,positive_net_streak,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,pressure_index,enough_history,high_pressure_cut,pressure_status
202508,高雄港,8,custom,70142,57855,387439,289330,762628,12287,127997,676769,0.1678367434712599,0.01611139375947382,0.3793854933204656,12481.666666666666,151771,0.01668812241234723,8,0.09197406861536686,0.01611139375947382,0.016366651456105292,0.2571428571428571,TRUE,0.2571428571428571,高壓力港
202509,高雄港,9,custom,63211,54976,363063,243335,695856.25,8235,118187,606398,0.16984398717407512,0.01183434078518372,0.34969147722679794,11602.666666666666,160006,0.01582697642594665,9,0.09083916397962942,0.011834340785183722,0.016673941876165756,0.11875,TRUE,0.5625,非高壓力港
202510,高雄港,10,custom,68373,48556,359132,264526,704490.25,19817,116929,623658,0.1659767470167259,0.02812955892576228,0.3754856791843464,13446.333333333334,179823,0.01869176449013994,10,0.0970531529712441,0.02812955892576228,0.019086613808116343,0.5388888888888889,TRUE,0.4666666666666667,高壓力港
202511,高雄港,11,custom,50592,49338,359557,261664,697826.25,1254,99930,621221,0.14320183570050568,0.00179700892593249,0.37497013045869226,9768.666666666666,181077,0.01392030287895949,11,0.07249942231321908,0.001797008925932494,0.013998709086490608,0,TRUE,0.44499999999999995,非高壓力港
202512,高雄港,12,custom,61529,59552,417202,283437,776950.5,1977,121081,700639,0.15584133094708091,0.0025445636498078,0.36480702438572343,7682.666666666666,183054,0.01082371050050085,12,0.07919294729844437,0.002544563649807806,0.009888231832873092,0.06818181818181818,TRUE,0.3545454545454545,非高壓力港
202501,基隆港,1,custom_nearby_a,1339,38704,81209,18122,128813.75,-37365,40043,99331,0.3108596714248285,-0.29006996535695917,0.1406837391194651,-37365,-37365,-0.29006996535695917,0,0.010394853033934654,0,0,0,FALSE,0,非高壓力港
202502,基隆港,2,custom_nearby_a,1671,20761,68084,19435,104992.75,-19090,22432,87519,0.21365284745851496,-0.1818220781911132,0.18510801936324175,-28227.5,-56455,-0.23594602177403615,0,0.0159153846337009,0,0,0.3,FALSE,1,非高壓力港
202503,基隆港,3,custom_nearby_a,2840,32596,91951,21451,136081.75,-29756,35436,113402,0.26040229494403183,-0.2186626788676659,0.1576331874038951,-28737,-86211,-0.23018490747191275,0,0.02086980803818293,0,0,0.3,TRUE,0.5,非高壓力港
202504,基隆港,4,custom_nearby_a,1860,29504,89606,23537,139028.75,-27644,31364,113143,0.2255936272173921,-0.19883657157242657,0.16929591900955737,-25496.666666666668,-113855,-0.1997737762104019,0,0.01337852782248276,0,0,0.09999999999999999,TRUE,0.85,非高壓力港
202505,基隆港,5,custom_nearby_a,2999,34319,87370,20645,141255.5,-31320,37318,108015,0.2641879431243385,-0.22172587970025945,0.14615360109871828,-29573.333333333332,-145175,-0.21307504338011732,0,0.021231031712039532,0,0,0.3,TRUE,0.6000000000000001,非高壓力港
202506,基隆港,6,custom_nearby_a,2296,30873,87276,22312,136769.5,-28577,33169,109588,0.2425175203535876,-0.2089427832959834,0.163135786853063,-29180.333333333332,-173752,-0.2098350781895565,0,0.01678736852880211,0,0,0.18,TRUE,0.18,非高壓力港
202507,基隆港,7,custom_nearby_a,1380,30250,86974,20893,135946.75,-28870,31630,107867,0.23266462787819495,-0.21236256107630375,0.15368517452605523,-29589,-202622,-0.21434374135751552,0,0.010151033400945591,0,0,0,TRUE,0.3416666666666667,非高壓力港
202508,基隆港,8,custom_nearby_a,2430,33095,90360,22389,139112,-30665,35525,112749,0.25536977399505434,-0.22043389499108632,0.16094226234976133,-29370.666666666668,-233287,-0.21391307978779112,0,0.01746793950198401,0,0,0.21428571428571427,TRUE,0.23571428571428568,非高壓力港
202509,基隆港,9,custom_nearby_a,2329,35041,93011,18848,134993,-32712,37370,111859,0.2768291689198699,-0.24232367604246147,0.1396220544768988,-30749,-265999,-0.2250400440366172,0,0.01725274643870423,0,0,0.1875,TRUE,0.5625,非高壓力港
202510,基隆港,10,custom_nearby_a,2527,26836,75672,19630,124129.75,-24309,29363,95302,0.23655086713700785,-0.19583540609724903,0.15814097748525233,-29228.666666666668,-290308,-0.21953099237693227,0,0.0203577305198794,0,0,0.23333333333333334,TRUE,0.4833333333333333,非高壓力港
202511,基隆港,11,custom_nearby_a,1350,26356,87131,16632,136588.25,-25006,27706,103763,0.20284321674814632,-0.18307577701595856,0.12176742875027684,-27342.333333333332,-315314,-0.20707828638522305,0,0.009883719866093899,0,0,0,TRUE,0.45999999999999996,非高壓力港
202512,基隆港,12,custom_nearby_a,1272,26359,99956,18600,145851.5,-25087,27631,118556,0.18944611471256723,-0.17200371610850762,0.1275269709259075,-24800.666666666668,-340401,-0.18363829974057175,0,0.008721199302029805,0,0,0,TRUE,0.3363636363636363,非高壓力港
202501,安平港,1,custom_nearby_a,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,非高壓力港
