年月,港口別,總計,進港,出港
202410,蘇澳港,0,0,0
202410,安平港,24,0,24
202411,國際商港,1179495,597490.5,582004.5
202411,基隆港,144909.25,75378.5,69530.75
202411,臺中港,137528.25,68773,68755.25
202411,高雄港,763471.25,386394.75,377076.5
202411,花蓮港,0,0,0
202411,臺北港,133426.25,66840.25,66586
202411,蘇澳港,0,0,0
202411,安平港,160,104,56
202412,國際商港,1262980.5,642868.5,620112
202412,基隆港,152787,80163,72624
202412,臺中港,145808.75,75356,70452.75
202412,高雄港,830697,420398,410299
202412,花蓮港,0,0,0
202412,臺北港,133305.75,66765.5,66540.25
202412,蘇澳港,0,0,0
202412,安平港,382,186,196
202501,國際商港,1156788.25,572420,584368.25
202501,基隆港,128813.75,65700.75,63113
202501,臺中港,129085,67188,61897
202501,高雄港,780706.5,384941.25,395765.25
202501,花蓮港,0,0,0
202501,臺北港,117935,54489,63446
202501,蘇澳港,0,0,0
202501,安平港,248,101,147
202502,國際商港,1007247.5,495309.75,511937.75
202502,基隆港,104992.75,54443,50549.75
202502,臺中港,108321.75,50684.5,57637.25
202502,高雄港,693319.75,341070.75,352249
202502,花蓮港,0,0,0
202502,臺北港,100157.25,48789.5,51367.75
202502,蘇澳港,0,0,0
202502,安平港,456,322,134
202503,國際商港,1200430,607667.5,592762.5
202503,基隆港,136081.75,73179.25,62902.5
202503,臺中港,140307.75,69066,71241.75
202503,高雄港,791883.25,399838.25,392045
202503,花蓮港,0,0,0
202503,臺北港,131944.25,65495,66449.25
202503,蘇澳港,0,0,0
202503,安平港,213,89,124
202504,國際商港,1130208.5,568667,561541.5
202504,基隆港,139028.75,74049.75,64979
202504,臺中港,134071.5,67272.75,66798.75
202504,高雄港,736143,367257,368886
202504,花蓮港,0,0,0
202504,臺北港,120731.25,59963.5,60767.75
202504,蘇澳港,0,0,0
202504,安平港,234,124,110
202505,國際商港,1176212.25,592841.75,583370.5
202505,基隆港,141255.5,73639,67616.5
202505,臺中港,143425.5,71723.5,71702
202505,高雄港,760686.5,382245.5,378441
202505,花蓮港,0,0,0
202505,臺北港,130724.75,65127.75,65597
202505,蘇澳港,0,0,0
202505,安平港,120,106,14
202506,國際商港,1159960.5,576880.5,583080
202506,基隆港,136769.5,72155.5,64614
202506,臺中港,139288.5,68001,71287.5
202506,高雄港,754069,373178,380891
202506,花蓮港,0,0,0
202506,臺北港,129791.5,63536,66255.5
202506,蘇澳港,0,0,0
202506,安平港,42,10,32
202507,國際商港,1120192.25,559727.5,560464.75
202507,基隆港,135946.75,72840.5,63106.25
202507,臺中港,129173.25,66267.5,62905.75
202507,高雄港,731295.5,361265.5,370030
202507,花蓮港,0,0,0
202507,臺北港,123743.75,59354,64389.75
202507,蘇澳港,0,0,0
202507,安平港,33,0,33
202508,國際商港,1159101.5,578658,580443.5
202508,基隆港,139112,74251.5,64860.5
202508,臺中港,139444,68893.25,70550.75
202508,高雄港,762628,378047,384581
202508,花蓮港,0,0,0
202508,臺北港,117768.5,57409.25,60359.25
202508,蘇澳港,0,0,0
202508,安平港,149,57,92
202509,國際商港,1065256.75,538081.25,527175.5
202509,基隆港,134993,71484,63509
202509,臺中港,126648.75,64385.5,62263.25
202509,高雄港,695856.25,347920,347936.25
202509,花蓮港,0,0,0
202509,臺北港,107584.75,54183.75,53401
202509,蘇澳港,4,2,2
202509,安平港,170,106,64
202510,國際商港,1066262.5,540414.75,525847.75
202510,基隆港,124129.75,68189.5,55940.25
202510,臺中港,124361.5,62009.25,62352.25
202510,高雄港,704490.25,355247.5,349242.75
202510,花蓮港,0,0,0
202510,臺北港,113001,54832.5,58168.5
202510,蘇澳港,0,0,0
202510,安平港,280,136,144
202511,國際商港,1085742.5,550749.5,534993
202511,基隆港,136588.25,74269,62319.25
202511,臺中港,129488.5,66602,62886.5
202511,高雄港,697826.25,350696.5,347129.75
202511,花蓮港,0,0,0
202511,臺北港,121710.5,59117,62593.5
202511,蘇澳港,0,0,0
202511,安平港,129,65,64
202512,國際商港,1218693.5,625572.5,593121
202512,基隆港,145851.5,78959,66892.5
202512,臺中港,147130.25,73422.75,73707.5
202512,高雄港,776950.5,399344.75,377605.75
202512,花蓮港,0,0,0
202512,臺北港,148565.25,73782,74783.25
202512,蘇澳港,0,0,0
202512,安平港,196,64,132
202601,國際商港,1172038.25,580879,591159.25
202601,基隆港,146288.5,77232.5,69056
202601,臺中港,133625.25,66063.75,67561.5
202601,高雄港,754112.25,371286.5,382825.75
202601,花蓮港,0,0,0
202601,臺北港,137826.25,66206.25,71620
202601,蘇澳港,0,0,0
202601,安平港,186,90,96
