年月,港口別,總計,進港,出港
200604,安平港,696,375,321
200605,國際商港,1139454,565486.5,573967.5
200605,基隆港,180716.25,91342,89374.25
200605,臺中港,103551,49567,53984
200605,高雄港,854908.75,424410.5,430498.25
200605,花蓮港,0,0,0
200605,臺北港,0,0,0
200605,蘇澳港,0,0,0
200605,安平港,278,167,111
200606,國際商港,1096102.25,546169.25,549933
200606,基隆港,176875.5,89836.75,87038.75
200606,臺中港,105597,50576,55021
200606,高雄港,813015.75,405461.5,407554.25
200606,花蓮港,0,0,0
200606,臺北港,0,0,0
200606,蘇澳港,0,0,0
200606,安平港,614,295,319
200607,國際商港,1090403,538073.75,552329.25
200607,基隆港,174221.5,88975,85246.5
200607,臺中港,103461,48434,55027
200607,高雄港,812297.5,400436.75,411860.75
200607,花蓮港,0,0,0
200607,臺北港,0,0,0
200607,蘇澳港,0,0,0
200607,安平港,423,228,195
200608,國際商港,1144108,570670.5,573437.5
200608,基隆港,178453,91408.5,87044.5
200608,臺中港,102677,48719,53958
200608,高雄港,862517,430311,432206
200608,花蓮港,0,0,0
200608,臺北港,0,0,0
200608,蘇澳港,0,0,0
200608,安平港,461,232,229
200609,國際商港,1099504.75,548592.75,550912
200609,基隆港,182474.25,94220.5,88253.75
200609,臺中港,96336,46704,49632
200609,高雄港,820207.5,407422.25,412785.25
200609,花蓮港,0,0,0
200609,臺北港,0,0,0
200609,蘇澳港,0,0,0
200609,安平港,487,246,241
200610,國際商港,1097544.75,544594,552950.75
200610,基隆港,178899.5,93916.5,84983
200610,臺中港,94747,45341,49406
200610,高雄港,823271.25,405017.5,418253.75
200610,花蓮港,0,0,0
200610,臺北港,0,0,0
200610,蘇澳港,0,0,0
200610,安平港,627,319,308
200611,國際商港,1111530.5,542472.75,569057.75
200611,基隆港,180106.75,91319.5,88787.25
200611,臺中港,98461,46986,51475
200611,高雄港,832515.75,403933.25,428582.5
200611,花蓮港,0,0,0
200611,臺北港,0,0,0
200611,蘇澳港,0,0,0
200611,安平港,447,234,213
200612,國際商港,1149245.25,576537.75,572707.5
200612,基隆港,192538.5,97168.75,95369.75
200612,臺中港,102013,50229,51784
200612,高雄港,854226.75,428934,425292.75
200612,花蓮港,0,0,0
200612,臺北港,0,0,0
200612,蘇澳港,0,0,0
200612,安平港,467,206,261
200701,國際商港,1126325.75,553632.25,572693.5
200701,基隆港,180554.75,89756.75,90798
