ym,ds,port,full_container_count,empty_container_count,total_container_count,full_container_teu_est,empty_container_teu_est,total_container_teu_est,out_teu,total_teu,in_teu,empty_share_count,full_share_count,empty_share_teu_est,full_share_teu_est,direction_balance_teu,direction_balance_rate
202105,2021-05-01,港口別總計,742807,121777,864584,1155681.75,185653.5,1341335.25,NA,NA,NA,0.14085039741656102,0.859149602583439,0.13840946922106162,0.8615905307789383,NA,NA
202106,2021-06-01,港口別總計,704730,130866,835596,1098217.5,203325.5,1301543,NA,NA,NA,0.15661396177099937,0.8433860382290006,0.15621881105733734,0.8437811889426626,NA,NA
202107,2021-07-01,港口別總計,720934,115388,836322,1122666.5,180903,1303569.5,NA,NA,NA,0.13797078158890955,0.8620292184110905,0.13877510942070984,0.8612248905792902,NA,NA
202108,2021-08-01,港口別總計,720948,113305,834253,1127427.75,176488.5,1303916.25,NA,NA,NA,0.13581611333732094,0.8641838866626791,0.13535263480304047,0.8646473651969595,NA,NA
202109,2021-09-01,港口別總計,696351,113162,809513,1089747,180589,1270336,NA,NA,NA,0.1397902195517552,0.8602097804482448,0.14215845256687995,0.85784154743312,NA,NA
202110,2021-10-01,港口別總計,693343,119024,812367,1078779,189379.25,1268158.25,NA,NA,NA,0.14651506031141098,0.8534849396885891,0.14933408350259125,0.8506659164974087,NA,NA
202111,2021-11-01,港口別總計,701993,123079,825072,1102009.5,194845,1296854.5,NA,NA,NA,0.14917364787557935,0.8508263521244207,0.15024430265692876,0.8497556973430712,NA,NA
202112,2021-12-01,港口別總計,715545,110416,825961,1120384,174231.5,1294615.5,NA,NA,NA,0.13368185664940596,0.866318143350594,0.13458165764275185,0.8654183423572481,NA,NA
202201,2022-01-01,港口別總計,685389,121427,806816,1082924.25,189946.75,1272871,NA,NA,NA,0.15050147741244596,0.8494985225875541,0.14922702300547344,0.8507729769945266,NA,NA
202202,2022-02-01,港口別總計,594644,96094,690738,935195.5,153453.5,1088649,NA,NA,NA,0.1391178710306947,0.8608821289693053,0.14095773752605292,0.8590422624739471,NA,NA
202203,2022-03-01,港口別總計,718780,126471,845251,1128427,196500.75,1324927.75,NA,NA,NA,0.14962537755057373,0.8503746224494263,0.14831053995208418,0.8516894600479158,NA,NA
202204,2022-04-01,港口別總計,680528,120423,800951,1072159.75,188266.75,1260426.5,NA,NA,NA,0.15035002141204643,0.8496499785879535,0.1493674958436688,0.8506325041563312,NA,NA
202205,2022-05-01,港口別總計,678808,121434,800242,1065007.5,192830.75,1257838.25,NA,NA,NA,0.151746596654512,0.848253403345488,0.15330329634990827,0.8466967036500918,NA,NA
202206,2022-06-01,港口別總計,710031,124200,834231,1124169.75,196963.5,1321133.25,NA,NA,NA,0.14887962686594,0.85112037313406,0.1490867783397322,0.8509132216602678,NA,NA
202207,2022-07-01,港口別總計,699851,127572,827423,1103606.5,203931.5,1307538,NA,NA,NA,0.15417990556220942,0.8458200944377906,0.15596602163761206,0.8440339783623879,NA,NA
202208,2022-08-01,港口別總計,655631,130435,786066,1034261,206795.25,1241056.25,NA,NA,NA,0.16593390376889472,0.8340660962311053,0.16662842639082637,0.8333715736091737,NA,NA
202209,2022-09-01,港口別總計,589408,115373,704781,930224.75,181367.75,1111592.5,NA,NA,NA,0.16370049703383036,0.8362995029661696,0.16316028580617448,0.8368397141938255,NA,NA
202210,2022-10-01,港口別總計,610957,113715,724672,953010.5,179108.5,1132119,NA,NA,NA,0.15691926830345315,0.8430807316965468,0.15820642529628068,0.8417935747037193,NA,NA
202211,2022-11-01,港口別總計,633180,124332,757512,995070.25,195526,1190596.25,NA,NA,NA,0.16413205335361025,0.8358679466463897,0.16422527788072572,0.8357747221192743,NA,NA
202212,2022-12-01,港口別總計,635229,116664,751893,1003230.5,179817.75,1183048.25,NA,NA,NA,0.15516037521296247,0.8448396247870376,0.15199527998963694,0.8480047200103631,NA,NA
202301,2023-01-01,港口別總計,552255,114862,667117,873202,181117.25,1054319.25,NA,NA,NA,0.1721766946427688,0.8278233053572311,0.17178596520930448,0.8282140347906956,NA,NA
202302,2023-02-01,港口別總計,557928,101143,659071,870232.75,157896.75,1028129.5,NA,NA,NA,0.15346298046796172,0.8465370195320383,0.15357671382836502,0.846423286171635,NA,NA
202303,2023-03-01,港口別總計,649875,115777,765652,1022862.75,178142,1201004.75,NA,NA,NA,0.15121360618139834,0.8487863938186017,0.14832747330932705,0.851672526690673,NA,NA
202304,2023-04-01,港口別總計,612417,106549,718966,964329.25,163409,1127738.25,NA,NA,NA,0.1481975503709494,0.8518024496290506,0.14489975843241992,0.85510024156758,NA,NA
202305,2023-05-01,港口別總計,650720,112539,763259,1035308.25,175091.25,1210399.5,NA,NA,NA,0.14744536258334326,0.8525546374166567,0.14465575208846335,0.8553442479115366,NA,NA
202306,2023-06-01,港口別總計,605949,97547,703496,956014,156227.5,1112241.5,NA,NA,NA,0.13866034774895664,0.8613396522510434,0.14046185113574705,0.859538148864253,NA,NA
202307,2023-07-01,港口別總計,591440,101290,692730,928347,162560,1090907,NA,NA,NA,0.14621858444126862,0.8537814155587314,0.14901361894276963,0.8509863810572303,NA,NA
202308,2023-08-01,港口別總計,632644,108385,741029,996845.5,171882.75,1168728.25,NA,NA,NA,0.14626283181899763,0.8537371681810023,0.14706819142944477,0.8529318085705552,NA,NA
202309,2023-09-01,港口別總計,632943,106095,739038,997971.25,168617,1166588.25,NA,NA,NA,0.14355824734316774,0.8564417526568323,0.14453857219974572,0.8554614278002542,NA,NA
202310,2023-10-01,港口別總計,607468,104828,712296,957828.75,165765,1123593.75,NA,NA,NA,0.14716915439648687,0.8528308456035132,0.1475310805173133,0.8524689194826867,NA,NA
202311,2023-11-01,港口別總計,613007,109594,722601,964227,175040.5,1139267.5,NA,NA,NA,0.15166599548021661,0.8483340045197834,0.15364302062509463,0.8463569793749054,NA,NA
202312,2023-12-01,港口別總計,633542,109954,743496,997056.25,177014,1174070.25,NA,NA,NA,0.14788781647782906,0.8521121835221709,0.15076951315306727,0.8492304868469327,NA,NA
202401,2024-01-01,港口別總計,620883,113229,734112,978833.75,184360.25,1163194,588216,1163194,574978,0.15423940761082777,0.8457605923891722,0.1584948426487757,0.8415051573512243,-13238,-0.011380732706668019
202402,2024-02-01,港口別總計,530611,93406,624017,838424.75,149231.5,987656.25,502076,987656,485581,0.1496850246067014,0.8503149753932986,0.1510965986394558,0.8489034013605442,-16495,-0.016701159108029516
202403,2024-03-01,港口別總計,668531,108543,777074,1048694.5,178538.5,1227233,615380,1227233,611853,0.13968167767805897,0.860318322321941,0.14548052407326073,0.8545194759267393,-3527,-0.0028739448825121226
202404,2024-04-01,港口別總計,618983,104212,723195,976647,164969.75,1141616.75,560825,1141617,580792,0.14409944759020735,0.8559005524097927,0.14450536924935622,0.8554946307506438,19967,0.017490103949047712
202405,2024-05-01,港口別總計,642383,114398,756781,1016701.75,183827.5,1200529.25,596714,1200529,603815,0.15116394306939523,0.8488360569306047,0.15312205012914096,0.8468779498708591,7101,0.0059148925182148865
202406,2024-06-01,港口別總計,655778,120928,776706,1037571.5,191937.75,1229509.25,607855,1229509,621655,0.1556934026517112,0.8443065973482888,0.15610923626642093,0.8438907637335791,13800,0.011223992666991457
202407,2024-07-01,港口別總計,588953,111904,700857,926045,181736.75,1107781.75,542420,1107782,565362,0.15966737865213587,0.8403326213478641,0.16405465246200346,0.8359453475379965,22942,0.020709850855132148
202408,2024-08-01,港口別總計,671140,123301,794441,1060322.5,201015.75,1261338.25,648331,1261338,613008,0.15520472885966358,0.8447952711403364,0.15936704527909148,0.8406329547209085,-35323,-0.02800438899010416
202409,2024-09-01,港口別總計,596060,114001,710061,941149,185896,1127045,562120,1127045,564925,0.16055099491452143,0.8394490050854786,0.16494106269048708,0.835058937309513,2805,0.002488809231219694
202410,2024-10-01,港口別總計,554784,100112,654896,881103.25,163772,1044875.25,516609,1044875,528267,0.15286702010700937,0.8471329798929906,0.15673832833154006,0.8432616716684599,11658,0.01115731546835746
202411,2024-11-01,港口別總計,617038,123324,740362,975200.25,204294.75,1179495,582005,1179495,597491,0.1665725685543018,0.8334274314456982,0.17320527005201378,0.8267947299479862,15486,0.013129347729324838
202412,2024-12-01,港口別總計,655177,133500,788677,1042453,220527.5,1262980.5,620112,1262981,642869,0.16927081682361728,0.8307291831763828,0.17460879245562383,0.8253912075443762,22757,0.01801848167153742
202501,2025-01-01,港口別總計,596429,122490,718919,954255.25,202533,1156788.25,584368,1156788,572420,0.17038080785178858,0.8296191921482114,0.17508217255837444,0.8249178274416256,-11948,-0.010328599535956459
202502,2025-02-01,港口別總計,518047,114718,632765,820452.75,186794.75,1007247.5,511938,1007248,495310,0.18129637385127179,0.8187036261487282,0.18545069608015904,0.8145493039198409,-16628,-0.016508347497339284
202503,2025-03-01,港口別總計,628504,128633,757137,990490,209935,1200425,592763,1200425,607663,0.16989395578343153,0.8301060442165684,0.1748838952870858,0.8251161047129142,14900,0.012412270654143324
202504,2025-04-01,港口別總計,585335,129288,714623,919004,211204.5,1130208.5,561542,1130209,568667,0.18091777062870912,0.8190822293712908,0.18687215677461283,0.8131278432253872,7125,0.006304143746864518
202505,2025-05-01,港口別總計,613298,128317,741615,965569.75,210642.5,1176212.25,583371,1176212,592842,0.17302373873236113,0.8269762612676389,0.17908544992623568,0.8209145500737643,9471,0.008052119855944336
202506,2025-06-01,港口別總計,600797,124230,725027,958240.25,201720.25,1159960.5,583080,1159961,576881,0.17134534300101928,0.8286546569989808,0.17390268892776953,0.8260973110722305,-6199,-0.005344145191088321
202507,2025-07-01,港口別總計,583312,117077,700389,926183.25,194009,1120192.25,560465,1120192,559728,0.1671599639628835,0.8328400360371165,0.1731925926107773,0.8268074073892226,-737,-6.579229274981432e-4
202508,2025-08-01,港口別總計,609212,120516,729728,962427.5,196674,1159101.5,580444,1159102,578658,0.1651519470268374,0.8348480529731626,0.16967797902081913,0.8303220209791808,-1786,-0.0015408480012975563
202509,2025-09-01,港口別總計,548033,119521,667554,865835,199421.25,1065256.25,527177,1065256,538080,0.17904319350943892,0.820956806490561,0.1872049565538808,0.8127950434461192,10903,0.010235098417657351
202510,2025-10-01,港口別總計,558352,111628,669980,884963.5,181302,1066265.5,525851,1066266,540415,0.16661392877399325,0.8333860712260067,0.17003457394054294,0.829965426059457,14564,0.013658880617031773
202511,2025-11-01,港口別總計,564851,111282,676133,900220,185522.5,1085742.5,534993,1085743,550750,0.16458596163772513,0.8354140383622749,0.1708715464302079,0.8291284535697921,15757,0.014512642494586656
202512,2025-12-01,港口別總計,626148,126926,753074,1006514.25,212197.25,1218711.5,593139,1218712,625573,0.16854386155942178,0.8314561384405782,0.17411606438439287,0.8258839356156071,32434,0.02661334261088756
202601,2026-01-01,港口別總計,603916,126745,730661,963745.5,208293.75,1172039.25,591160,1172039,580879,0.17346621757559252,0.8265337824244074,0.17771909089222054,0.8222809091077794,-10281,-0.008771892402897856
202602,2026-02-01,港口別總計,487116,99837,586953,774895.75,161128,936023.75,482647,936024,453377,0.17009368722879004,0.82990631277121,0.17214093125307986,0.8278590687469202,-29270,-0.03127056571199029
202603,2026-03-01,港口別總計,611782,126957,738739,969484.5,210783,1180267.5,581244,1180268,599024,0.17185636605079738,0.8281436339492027,0.17858917575888517,0.8214108242411148,17780,0.015064375209698137
202604,2026-04-01,港口別總計,571675,115740,687415,901195.5,192778,1093973.5,545539,1093974,548435,0.16836990755220646,0.8316300924477935,0.17621816250576453,0.8237818374942355,2896,0.0026472292760157004
